,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
399,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Palermo et al 2017/2018,2017,P-ass-VisL % err,,,P-ass VisL % Errors. Delayed match to sample % Errors,,,,3.1,3.82,37,720,,,1.9,1.9,30,,-0.4,,1,-0.62,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
400,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Channon et al 2004,2004,Rey-Osterrieth CFT-recall,,, delayed recall-% correct,,,,63.3,19.06,20,859,,,70.6,18.58,20,,0.39,,-1,-0.39,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
401,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Nardecchia et al 2015,2015,Rey-Osterrieth CFT-recall,,,Recall  second assessment - % correct,,,,44.6,37.18,14,-,,,57.1,35.01,14,,0.35,,-1,-0.35,,1,,,,,,,3,Witihn 2 months,cont treat,Witihn 2 months,
402,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Pilotto et al 2021,2021,Rey-Osterrieth CFT-recall,,,Recall-Raw score,,,,21,11.21,19,890,,,30,3.14,25,,1.09,,-1,-2.81,,1,,,,,,,2,,,,
403,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Ris et al 1994,1994,Rey-Osterrieth CFT-recall,,, Rey complex figure raw scores - N correct vs siblings ,,,,64,10,25,1332,,,69,2,15,,0.69,,-1,-2.45,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
404,Children,Visual learning LTM,Visual learning LTM,ES_medium,Antshel & Waisbren 2003,2003,Rey-Osterrieth CFT-recall,,,Delayed recallOrganizational score ,,,,43.8,7.5,46,490,375,,49.7,5.9,18,,,,-1,-0.99,,1,,10.75,2.1,,13.1,3.2,,,,,
405,Children,Visual learning LTM,Visual learning LTM,ES_medium,Antshel & Waisbren 2003,2003,Rey-Osterrieth CFT-recall,,,Immediate recall Organizational score,,,,42.7,8.7,46,490,375,,50.3,8.2,18,,,,-1,-0.92,,1,,10.75,2.1,,13.1,3.2,,,,,
406,Children,Visual learning LTM,Visual learning LTM,ES_medium,Leuzzi et al 2004,2010,Rey-Osterrieth CFT-recall,,,From memory,,,,19.5,6.93,14,491,149,,24.9,6.85,14,,,,-1,-0.76,,1,,10.8,1.25,,10.9,1.3,,,,,
407,Children,Visual learning LTM,Visual learning LTM,ES_medium,Gassio et al 2005,2005,Rey-Osterrieth CFT-recall,,,Delayed recall,,,,53,10,26,489,181,,59,11,21,,,,-1,-0.54,,1,,12.3,3.7,,11.8,3.6,,,,,
408,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Channon et al 2004,2004,Rey-Osterrieth CFT-recognition ,,,t recognition -  % correct,,,,58.8,4.35,20,859,,,59.9,5.06,20,,0.24,,-1,-0.22,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
409,Children,Visual learning LTM,Visual learning LTM,ES_medium,Griffiths 1995,1995,Rey-Davis Manual Labyrinth,,,"Systematic search and recall, repeated five times, of single peg positions in each of four stacked wooden boards, each board containing a further eight distractor pegs (Zangwill 1946)",,,,10.5,4.74,10,348,,,13.1,4.98,10,,,,-1,-0.5,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
410,Mixed-age,Visual learning LTM,Visual learning LTM,ES_medium,Griffiths 1995,1995,Rey-Davis Manual Labyrinth,,,"Systematic search and recall, repeated five times, of single peg positions in each of four stacked wooden boards, each board containing a further eight distractor pegs (Zangwill 1946)",,,,14.5,3.95,10,1014,216,,17.6,1.08,10,,,,-1,-2.75,,1,,20.6,3.8,13.6-28.42,,,,,,,
411,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Luna at al 2023,2023,Visual memory (ROCF),,,Recall - raw score,3 min delay,Subtests from WAIS-IV Spanish version,,21.2,7.13,20,586,420,,25.9,4.61,20,NA,0.36,,-1,-0.99,,0,,NA,,,,,,,,,
412,Adults,Visual learning LTM,Visual learning LTM,ES_medium,Moyle et al 2007,2007,WMS-III Visual delayed,,,Visual Delayed  WMS III  - Score,,,,95,13.9,12,-,,,97,2.9,12,,0.2,,-1,-0.67,,1,,,,,,,1,From birth,off diet,Soon after birth,
414,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Palermo et al 2017/2018,2017,Corsi Block task ,,,Corsi span,,,,5.3,0.9,37,720,,,5.7,0.9,30,,0.44,,-1,-0.44,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
415,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Romani et al 2020,2020,Corsi Block task ,,,Corsi span,,,,5.9,1,19,1042,,,5,1.1,19,,-0.86,,-1,0.8,,1,,,,,,,,,,,
416,Children,Visual STM/WM,Visual STM/WM,ES_medium,Bisiacchi et al 2018,2018,Corsi Block task ,,,,,,,4.9,0.9,11,743,84,,4.3,1,28,,,,-1,0.59,,1,,13,2.5,,11.8,2.5,,,,,
417,Mixed-age,Visual STM/WM,Visual STM/WM,ES_medium,Luciana et al 2001,2001,Corsi Block task ,,,,span,???,,6.7,1.4,18,NA,,,6.2,1.4,16,,,,-1,0.35,,1,,17.88,2.74,,16.32,2.92,,,,,
418,Mixed-age,Visual STM/WM,Visual STM/WM,ES_medium,Luciana et al 2001,2001,Corsi Block task ,,,,Easy-item,,,0.7,1.7,18,NA,,,1.6,4.07,16,,,,-1,-0.21,,1,,17.88,2.74,,16.32,2.92,,,,,
419,Mixed-age,Visual STM/WM,Visual STM/WM,ES_medium,Luciana et al 2001,2001,Corsi Block task ,,,,Hard-item,,,21.6,16.8,18,NA,,,30.4,16.9,16,,,,-1,-0.51,,1,,17.88,2.74,,16.32,2.92,,,,,
420,Mixed-age,Visual STM/WM,Visual STM/WM,ES_medium,Luciana et al 2001,2001,Corsi Block task ,,,,Strategy,,,32.6,4.6,18,NA,,,33.3,4.33,16,,,,-1,-0.16,,1,,17.88,2.74,,16.32,2.92,,,,,
421,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Jahja et al 2016/2017,2017,Feature integration-accuracy,accuracy,accuracy,Feature integration - N Errors,,,,4.5,2.6,57,655,,,3.9,2.6,57,,-0.23,,1,-0.23,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
422,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Jahja et al 2016/2017,2017,Feature integration-RT,speed,speed,Feature integration - RT,,,,1705,457,57,655,,,1539,318,57,,-0.42,,1,-0.52,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
423,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Channon et al 2004,2004,Self ordered pointing,,, N correct,,,,13.5,3.25,20,859,,,17.6,3.57,20,,1.2,,-1,-1.12,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
424,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Smith et al 1996-High Phe,1996,Self ordered pointing,,,N err,"Petrides & Milner, 1982",,,9.3,3.65,11,1545,,,4.7,2.53,22,,-1.47,,1,-1.78,,1,,,,,,,--,--,-,--,
425,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Smith et al 1996-Low Phe,1996,Self ordered pointing,,,N err,"Petrides & Milner, 1982",,,8.9,4.06,11,566,,,4.7,2.53,22,,-1.25,,1,-1.63,,1,,,,,,,--,--,-,--,
426,Children,Visual STM/WM,Visual STM/WM,ES_medium,Smith et al 2000,2000,Self ordered pointing,,,Errors,"point to a different picture in a grid across presentations of the grid (which could have 6,8,10. or 12 pictures)",,,14.2,6.62,19,777,200,,12.5,4.94,19,,,,1,-0.32,,1,,9.4,2.9,,9.3,2.9,,,,,
427,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Jahja et al 2016/2017,2017,Visuospatial sequencing-N cor,,,Visuospatial sequencing task - N correct,,,,98.6,5.6,57,655,,,100.7,3.5,57,,0.45,,-1,-0.6,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
429,Children,Visual STM/WM,Visual STM/WM,ES_medium,Stemerdink et al 1999,1999,Recency judgment test,,,% correct,"Which of two pictures occurred more recently in the sequence.  Participants had to look at a series of drawings presented one
at a time in the center of the screen. From time to time a test item appeared bear-
ing two drawings with a question mark between them; the participant had to in-
dicate which of these drawings he or she saw more recently.",,,68.1,14.9,36,455,250,,88.9,9.2,36,,,,-1,-2.24,,1,,13.3,3,,13.2,3,,,,,
430,Children,Visual STM/WM,Visual STM/WM,ES_medium,Stemerdink et al 2000,2000,Recognition test,,,% correct,has this picture been presented before,,,88.7,9.2,36,455,250,,91.5,9.6,36,,,,-1,-0.29,,1,,,,,,,,,,,
431,Adults,Visual STM/WM,Visual STM/WM,ES_medium,Moyle et al 2007,2007,WMS-III Visual Immedjate Memory,,,Visual Immediate memory score(WMS III) ,,,,94,19.4,12,-,,,96,11.8,12,,0.12,,-1,-0.16,,1,,,,,,,1,From birth,cont treat,Soon after birth,
433,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Luna at al 2023,2023,Incomplete figures subtest,,,Score,,WAIS-IV Spanish version,,10.6,4.9,20,586,420,,12.9,3.99,20,NA,,,-1,-0.55,,0,,NA,,,,,,,,,
434,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Smith et al 2000,2000,Line bisection,,,,distance from midpoint,,,2.2,0.53,19,777,200,,1.9,0.54,19,,,,1,-0.53,,1,,9.4,2.9,,9.3,2.9,,,,,
435,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Christ et al 2023,2023,Pattern Comparison ,speed,,processing speed - T-score,,NIH Toolbox Cognitive Battery,Pattern Comparison is a measure of processing speed requiring participants to indicate if two images are the same or different as quickly as possible.,56,11.7,40,589,444,,61,10.9,32,NA,,,-1,-0.45,,1,,NA,,,,,,,,,
436,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Luna at al 2023,2023,Puzzles subtest,,,Score,,WAIS-IV Spanish version,,15.5,6.65,20,586,420,,17.8,4.65,20,NA,,,-1,-0.48,,0,,NA,,,,,,,,,
437,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,Given a target object match it with one of two objects presented below,,,99.4,1.66,25,759,,,99.4,1.66,25,,0,,-1,0,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
438,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2007 off diet,2007,Perceptual judgement Task,accuracy,accuracy,Shape matching - % correct,A single object displayed and ppts were required to match it to one of two objects,,,98.2,2.84,25,1286,,,98.6,2.02,45,,0.16,,-1,-0.2,,1,,,,,,,2,Within 1 month,off diet,Within 1 month,
439,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2005 on diet,2005,Perceptual judgement Task,speed,speed,Shape Matching - Speed per item,Given a target object match it with one of two objects presented below,,,1,0.35,25,759,,,0.8,0.26,25,,-0.52,,1,-0.61,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
440,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2007 off diet,2007,Perceptual judgement Task,speed,speed,Shape matching - Speed per item ,A single object displayed and ppts were required to match it to one of two objects,,,0.9,0.2,25,1286,,,0.8,0.26,45,,-0.22,,1,-0.19,,1,,,,,,,2,Within 1 month,off diet,Within 1 month,
441,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Channon et al 2004,2004,Rey-Osterrieth CFT-copy,,,Initial copy - % correct,,,,98.2,2.59,20,859,,,98.2,4.16,20,,0,,-1,0,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
442,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Luna at al 2023,2023,Rey-Osterrieth CFT-copy,accuracy,accuracy,Copy accuracy,,Spanish version,,29.5,4.74,20,586,420,,34.2,1.88,20,NA,,,-1,-2.45,,0,,NA,,,,,,,,,
443,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Luna at al 2023,2023,Rey-Osterrieth CFT-copy,speed,speed,Copy time,,Spanish version,,3.4,1.77,20,586,420,,2.8,1.64,20,NA,,,1,-0.35,,0,,NA,,,,,,,,,
444,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Nardecchia et al 2015,2015,Rey-Osterrieth CFT-copy,,,Rey Figure Test with copy at second assessment - N correct,,,,77.9,28.6,14,-,,,86.8,24.31,14,,0.34,,-1,-0.36,,1,,,,,,,3,Witihn 2 months,cont treat,Witihn 2 months,
445,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,Pilotto et al 2021,2021,Rey-Osterrieth CFT-copy,,,,,,,36,1.6,19,890,,,36,0.79,25,,0,,1,0,,1,-0.47,,,,,,,,,,
446,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Anderson et al 2002/2007,2002,Rey-Osterrieth CFT-copy,,,Copy ,,,,27.2,6.72,36,,,,29.3,4.92,69,,,,-1,-0.41,,1,,,,,,,,,,,
447,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Antshel & Waisbren 2003,2003,Rey-Osterrieth CFT-copy,,,Copy -organizational score,,,,38.5,9.3,46,490,375,,52.5,10.4,18,,,,-1,-1.33,,1,,10.75,2.1,,13.1,3.2,,,,,
448,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Leuzzi et al 2004,2009,Rey-Osterrieth CFT-copy,,,Copy,,,,28.5,5.17,14,491,149,,34.2,1.96,14,,,,-1,-2.82,,1,,10.8,1.25,,10.9,1.3,,,,,
449,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Gassio et al 2005,2005,Rey-Osterrieth CFT-copy,,,Copy ,,,,51,8,26,489,181,,60,10,21,,,,-1,-0.88,,1,,12.3,3.7,,11.8,3.6,,,,,
450,Children,Visuo-spatial skills,Visuo-spatial skills,ES_small,Bisiacchi et al 2018,2018,Street’s Completion Test,,,z score,"Gestalt test; in this test objects made of black blotches representing parts of objects have to be recognized, therefore participants
have to group the parts into a recognizable object and name it;",,,-0.6,0.94,11,743,84,,0,0.66,28,,,,-1,-0.59,,1,-1.01,13,2.5,,11.8,2.5,,,,,
453,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Ris et al 1994,1994,ADM visual search-RT,,,Attention Diagnostic Method - ADM visual search; unaffected siblings - Time (sec.),,,,461,132,25,1332,,,395,48,15,,-0.66,,1,-1.35,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
454,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Palermo et al 2017/2018,2017,Choice detection,speed,speed,Choice Reaction time - RT,,,,307,42,37,720,,,281,31.3,30,,-0.7,,1,-0.82,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
455,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Palermo et al 2017/2018,2017,Conjoined search,speed,speed,Conjoined search - RT,,,,1008,239.7,37,720,,,841,126.3,30,,-0.87,,1,-1.31,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
456,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Romani et al 2020,2020,Conjoined search-RT,speed,speed,Conjoined search - RT,,,,1152,237,19,1042,,,938,203,19,,-0.97,,1,-1.03,,1,,,,,,,1,Since birth,-,Soon after birth,
457,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Palermo et al 2017/2018,2017,Detection w/distractors-RT,speed,speed,Detection with distractors - RT,,,,438,70.6,37,720,,,407,72.2,30,,-0.43,,1,-0.42,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
458,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Romani et al 2020,2020,Detection w/distractors-RT,speed,speed,Detection with distractors - RT,,,,483,104,19,1042,,,430,58,19,,-0.63,,1,-0.89,,1,,,,,,,1,Since birth,-,Soon after birth,
459,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Palermo et al 2017/2018,2017,Feature search-RT,speed,speed,Feature search - RT,,,,606,167.6,37,720,,,498,71.7,30,,-0.84,,1,-1.49,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
460,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Romani et al 2020,2020,Feature search-RT,speed,speed,Feature search - RT,,,,752,262,19,1042,,,586,113,19,,-0.82,,1,-1.44,,1,,,,,,,1,Since birth,-,Soon after birth,
461,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Jahja et al 2016/2017,2017,Memory search-high load-RT,speed,speed,Memory search 2 dimension task - high memory load - RT,,,,2144,570,57,655,,,1875,418,57,,-0.54,,1,-0.64,,1,,,,,,,1,Since birth,-,Soon after birth,
462,Adults,Visual spatial attention speed,Visual spatial attention speed,ES_large,Jahja et al 2016/2017,2017,Memory search-low load-RT,speed,speed,Memory search 2 dimension task - low memory load RT,,,,605,146,57,655,,,549,80,57,,-0.48,,1,-0.7,,1,,,,,,,1,Since birth,-,Soon after birth,
463,Children,Visual spatial attention speed,Visual spatial attention speed,ES_large,Anderson et al 2002/2007,2008,Symbol Search,,,speed + accuracy,,from WISC,,8.4,2.872,33,,,,11.4,2.915,34,,,,-1,-1.01,,1,,11.18,3.4,,10.3,3.1,,,,,
464,Children,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Antshel & Waisbren 2003,2003,Symbol Search,,,scaled score,based on N correct - errors,"from WISC, participants are given two minutes to answer as many items as possible. Each item is presented as a row of two symbols on the left and five symbols on the right. The participant indicates whether the set of five symbols includes either of the two symbols on the left",,9.9,2.8,46,490,375,,10.2,1.8,18,,,,-1,-0.16,,1,,10.75,2.1,,13.1,3.2,,,,,
467,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Palermo et al 2017/2018,2017,Choice detection,accuracy,accuracy,Choice Reaction time -  % Errors,,,,0.5,0.8,37,720,,,0.4,0.8,30,,-0.13,,1,-0.12,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
468,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Palermo et al 2017/2018,2017,Conjoined search,accuracy,accuracy,Conjanction Search - % Errors,,,,2.4,2.7,37,720,,,3.1,4.4,30,,0.19,,1,0.16,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
469,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Romani et al 2020,2020,Conjunction search-accuracy,accuracy,accuracy,Conjanction Search - % Errors,,,,3.2,4.7,19,1042,,,2.8,4.7,19,,-0.09,,1,-0.08,,1,,,,,,,1,Since birth,-,Soon after birth,
470,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Palermo et al 2017/2018,2017,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,,,,0.8,1.1,37,720,,,0.6,0.6,30,,-0.23,,1,-0.33,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
471,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Romani et al 2020,2020,Detection w/distractors-accuracy,accuracy,accuracy,Detection with distractors - % Errors,,,,0.8,0.6,19,1042,,,0.5,1.1,19,,-0.34,,1,-0.27,,1,,,,,,,1,Since birth,-,Soon after birth,
472,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Palermo et al 2017/2018,2017,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,,,,1.6,2.6,37,720,,,2,2.3,30,,0.16,,1,0.17,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
473,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Romani et al 2020,2020,Feature search-accuracy,accuracy,accuracy,Feature search - % Errors,,,,1.6,4.7,19,1042,,,0.6,1.2,19,,-0.29,,1,-0.82,,1,,,,,,,1,Since birth,-,Soon after birth,
474,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Jahja et al 2016/2017,2017,Memory search-high load-N err,accuracy,accuracy,Memory search 2 dimension task - high memory load - N Errors,,,,10.3,6.6,57,655,,,9.2,8,57,,-0.15,,1,-0.14,,1,,,,,,,1,Since birth,-,Soon after birth,
475,Adults,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Jahja et al 2016/2017,2017,Memory search-low load-N err,accuracy,accuracy,Memory search 2 dimension task - Low memory load  - N Errors,,,,1.7,2.4,57,655,,,1.7,2.2,57,,0,,1,0,,1,,,,,,,1,Since birth,-,Soon after birth,
476,Children,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Anderson et al 2002/2007,2008,Sky Search,,,Number correct,Iit measures selective attention and visual search; children have to look for a particular space ship among similar distractors on a large piece of paper.,"ircle all the targets (spaceships) as quickly as
possible on a laminated sheet filled with very similar distractors.",,17.6,2.872,33,NA,NA,,18.8,2.332,34,,,,-1,-0.5,,1,,11.18,3.4,,10.3,3.1,,,,,
477,Children,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Antshel & Waisbren 2003,2003,Symbol Search,,,Errors,,"from WISC, participants are given two minutes to answer as many items as possible. Each item is presented as a row of two symbols on the left and five symbols on the right. The participant indicates whether the set of five symbols includes either of the two symbols on the left",,0.1,0.1,46,490,375,,0,0.1,18,,,,1,-0.99,,1,,10.75,2.1,,13.1,3.2,,,,,
478,Children,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Griffiths 1995,1995,Letter cancellation,,,n correct in one min,"Letter Cancellation. Visual letter-search (Neisser t967). Twenty target stimuli, 1180 distractors. Four-minute time-limit.",,,3.3,3.52,10,348,,,3.5,1.46,10,,,,-1,-0.12,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
479,Mixed-age,Visuo-spatial attention acc,Visuo-spatial attention acc,ES_small,Griffiths 1995,1995,Letter cancellation,,,n correct in one min,,,,7.4,3.95,10,1014,216,,9.8,5.06,10,,,,-1,-0.45,,1,,20.6,3.8,13.6-28.42,,,,,,,
481,Children,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Griffiths 1995,1995,Simple RT,speed,,Button-pressing in response to single light stimulus. Preferred hand. Ten trials summated.,,,,3.3,0.89,10,348,,,3,0.52,10,,,,1,-0.66,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
482,Mixed-age,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Griffiths 1995,1995,Simple RT,speed,,Button-pressing in response to single light stimulus. Preferred hand. Ten trials summated.,,,,2.4,0.77,10,1014,216,,2.2,0.47,10,,,,-1,0.35,,1,,,,,,,,,,,
483,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Burgard et al 1997-German,1997,Finger motor speed,speed,,Finger motor speed exercise adults german vs controls - Time,,,,248,42,8,870,,,186,80.8,8,,-0.96,,1,-0.73,,1,,,,,,,4,Within 3 months,5 years,Within 3 months,
484,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Dawson et al 2011-on diet,2011,Reciprocal saccade,speed,,Reciprocal of saccade latency,,,,6,0.92,21,640,,,5.9,0.18,21,,-0.09,,-1,0.33,,1,,,,,,,--,early in life,until adolescence,Soon after birth,
485,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Dawson et al 2011-off diet,2011,Reciprocal saccade,speed,,Reciprocal of saccade latency,,,,5.6,0.77,56,1461,,,5.9,0.11,56,,0.65,,-1,-3.25,,1,,,,,,,--,early in life,until adolescence,Within 3 months,
486,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Palermo et al 2017/2018,2017,Simple detection-RT,speed,speed,Simple Detection - RT,,,,332,52.9,37,720,,,316,56.9,30,,-0.29,,1,-0.28,,1,,,,,,,1,Since birth,cont treat,Within 3 months,
487,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Romani et al 2020,2020,Simple detection-RT,speed,,Simple Detection - RT,,,,325,46,19,1042,,,315,44.6,19,,-0.22,,1,-0.22,,1,-0.63,,,,,,1,Since birth,-,Within 3 months,
488,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Muri et al 2022,2022,Alertness (TAP subtests),speed,,Test of Attentional Performance (TAP),T-scores ,Median reaction time (higher=better),"In this test, reaction time is examined under two conditions. The first condition concerns simple reaction time measurements, in which a cross appears on the monitor at randomly varying intervals and to which the subject should respond as quickly as possible by pressing a key. Intrinsic alertness is measured in this condition. In a second condition, reaction time is measured in response to a critical stimulus preceded by a cue stimulus presented as warning tone (""phasic arousal"", or temporal orientation of attentional focus).",45.5,9.8,30,741,IQR=358,,47,12,54,NA,0.14,,-1,-0.12,,1,,NA,,,,,,,,,
489,Adults,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Muri et al 2022,2022,Alertness (TAP subtests),,,Test of Attentional Performance (TAP),Residuals (USE?),(lower = better),*Residuals are the error terms after regressing out the confounding variable AGE,3.2,37.4,30,741,IQR=358,,-0.8,32.7,54,NA,-0.11,,1,-0.12,,0,,NA,,,,,,,,,
490,Children,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Christ et al 2006,2006,Simple detection-accuracy;,accuracy,accuracy,,,,,2,2,26,424,339,,1.4,1.8,25,,,,1,-0.33,,1,,11.2,3.1,,11.3,3.4,,,,,
491,Children,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Janos et al 2012,2012,Simple detection-RT,speed,,,,,,435,103,42,546,331,,383,80,81,,,,1,-0.65,,1,,11.8,3.5,,12.3,3.2,,,,,
492,Children,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Christ et al 2006,2006,Simple detection-RT,speed,speed,,,,,335,60,26,424,339,,352,84,25,,,,1,0.2,,1,,11.2,3.1,,11.3,3.4,,,,,
493,Children,Simple RT-Visuo-spatial,Simple RT-Visuo-spatial,ES_small,Janos et al 2012,2012,Simple detectopm RT SD,,,,,,,138,81,42,546,331,,94,48,81,,,,1,-0.91,,1,,11.8,3.5,,12.3,3.2,,,,,
496,Children,Visuo motor control,Visuo motor control,ES_large,Weglage et al 1995,1995, Follow line ,,,F (number of mistakes),,,,0.1,1.1,20,583,377,,0.1,0.9,20,,,,1,0,,1,,10.11,1.3,,11,1.1,,,,,
497,Children,Visuo motor control,Visuo motor control,ES_large,Weglage et al 1995,1995,Aiming ,,,F (number of mistakes),,,,-0.1,0.8,20,583,377,,0.1,1.2,20,,,,1,0.16,,1,,10.11,1.3,,11,1.1,,,,,
498,Children,Visuo motor control,Visuo motor control,ES_large,Weglage et al 1995,1995,Steadiness ,,,F (number of mistakes),,,,0.1,1.1,20,583,377,,0.1,0.9,20,,,,1,0,,1,,10.11,1.3,,11,1.1,,,,,
499,Children,Visuo motor control,Visuo motor control,ES_large,Weglage et al 1995,1995,Rotor task,,,F (number of mistakes),z score (number of mistakes),,,-0.1,1,20,583,377,,0.1,1,20,,,,-1,-0.2,,1,,13.9,1.3,,14,1.1,,,,,
500,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,Fast Video Tracking-Level dist,,,Fast Video Tracking task level distance,,,,37.9,15.2,57,1085,,,26.5,8.6,40,,-0.92,,1,-1.32,,1,,,,,,,4,Within 3 months,-,Within 3 months,
501,Adults,Visuo motor control,Visuo motor control,ES_large,Pietz et al 1998,1998,Fast Video Tracking-Stability dist,,,Fast Video Tracking task stability distance,,,,16.6,11.8,57,1085,,,8.5,6.4,40,,-0.85,,1,-1.26,,1,,,,,,,4,Within 3 months,-,Within 3 months,
